1005010002,健康运动、户外|运动服饰|运动夹克,adidas 户外梭织羽绒茄克 W66317 黑色 2XL   ,首页 > 运动户外 > 运动服装 > 运动棉衣 > ADIDAS 阿迪达斯,徐家汇商城,$N
NULL,NULL,匹克（PEAK）新款女子加绒夹克外套运动夹克 F213038 黑色 XL,服饰鞋帽>运动>夹克>匹克（PEAK）新款女子加绒夹克外套运动...,京东商城,匹克PEAK旗舰店
NULL,NULL,CBA 女款休闲运动夹克春装外套 3Q109798J 两色选 红 M-160/84,CBA 女款休闲运动夹克春装外套 3Q1...,京东商城,CBA旗舰店
1005011011,健康运动、户外|户外服饰|内衣、内裤,CBA 男运动外套春季运动上衣运动夹克5111301,所有分类 > 服饰内衣、鞋靴运动 > 运动户外装配 > 运动服饰 > 运动夹克 > CBA,1号店,NULL
1008002008,服饰、鞋、包|男装|夹克,HI-TEC 海泰客 防风 防水男士户外三防运动夹克14-1A011 深卡其色,首页 >运动户外 >户外鞋服 >冲锋衣裤 >HI-TEC 海泰客 防风 防水男士户外三防运动夹克14-1A011,vjia,海泰客旗舰店
NULL,NULL,赛琪SAIQI2012 秋装新品 潮流修身女装运动夹克212306 黑色 S,赛琪SAIQI2012 秋装新品 潮流修...,京东商城,尚品运动专营店
1008002008,服饰、鞋、包|男装|夹克,阿迪达斯adidas三叶草男装运动夹克-X52038 灰色 XS,阿迪达斯（Adidas）>阿迪达斯adidas三叶草男装运动夹克-...,京东商城,西街运动专营店
1008002008,服饰、鞋、包|男装|夹克,Leevy 力为 热销正品 男士休闲外套 防风跑步运动夹克 黑色 LZMA-20334,运动户外休闲 > 跑步 > 跑步服 > 男士 > 夹克,亚马逊(卓越网),Leevy 力为
NULL,NULL,HI-TEC海泰客防风 防水 防霉 女式户外青蓝色三防运动夹克14-1A012,XS,首页>户外>户外休闲服>外套/夹克,银泰网,Hi-Tec
1008002008,服饰、鞋、包|男装|夹克,HI-TEC海泰客防风 防水 防霉 男士户外葡萄酒红色三防运动夹克14-1A011,XL,首页>户外>户外休闲服>外套/夹克,银泰网,Hi-Tec
1008002008,服饰、鞋、包|男装|夹克,Adidas BMI 男装运动夹克TR10030MA 深蓝+橙,首页 >运动户外 >运动服 >夹克 >Adidas BMI 男装运动夹克TR10030MA,vjia,Adidas
1008002008,服饰、鞋、包|男装|夹克,CBA 新款男士运动外套运动夹克运动衣5111101-083/122两色 -083深紫 2XL-180/100,CBA 新款男士运动外套运动夹克运动衣5...,京东商城,CBA旗舰店
1008002008,服饰、鞋、包|男装|夹克,Adidas 阿迪达斯男装 休闲 运动夹克 X58185 颜色X58185 XXL,Adidas 阿迪达斯男装 休闲 运动夹...,京东商城,酷买运动专营店
1008002008,服饰、鞋、包|男装|夹克
,（adidas） 阿迪达斯 男式运动夹克 P72124 深蓝 S,服饰内衣>运动>夹克>阿迪达斯（Adidas）>（adidas） 阿迪达斯 男式运动夹克...,京东商城,名鞋库adidas官方授权
1008002012,服饰、鞋、包|男装|外套,耐克 NIKE 针织夹克（加绒）男装 外套 运动夹克424795-060 L,耐克 NIKE 针织夹克（加绒）男装 外...,京东商城,边度阳光运动
NULL,NULL,【最强满减】鸿星尔克erke 女子2012新款户外风衣加厚运动夹克12212308549 青紫 S,服饰鞋帽>运动>夹克>【最强满减】鸿星尔克erke 女子201...,京东商城,巨爵专营店
NULL,NULL,阿迪达斯 NEO adidas 女 运动夹克 Z22659 黑色 S,阿迪达斯 NEO adidas 女 运动...,京东商城,锋线运动专营店
1008002012,服饰、鞋、包|男装|外套,耐克 NIKE 运动夹克 梭织外套 男装459751-010 XXL,服饰鞋帽>运动>夹克>耐克 NIKE 运动夹克 梭织外套 男装...,京东商城,边度阳光运动
NULL,NULL,VANCL凡客诚品 女士经典复古立领多彩针织运动夹克40195蜜桃粉色/白色M,首页>运动户外>运动服>健身服>VANCL凡客诚品女士经典复古立...,苏宁,NULL
NULL,NULL,Nike耐克男子运动夹克 485442-010 M,服饰鞋帽>运动>夹克>Nike耐克男子运动夹克 485442-...,京东商城,宝夏体育
NULL,NULL,Nike耐克女子运动夹克 445698-010 S,服饰鞋帽>运动>夹克>Nike耐克女子运动夹克 445698-...,京东商城,宝夏体育
NULL,NULL,阿迪达斯adidas2013年新款男子罗斯系列运动夹克棒球衫N X74618 黑/红 S,服饰内衣>运动>夹克>阿迪达斯（Adidas）>阿迪达斯adidas2013年新款男子罗...,京东商城,辉动运动专营店
NULL,NULL,阿迪达斯 adidas 男 罗斯 运动夹克 X74618 黑色 S,阿迪达斯 adidas 男 罗斯 运动夹...,京东商城,锋线运动专营店
NULL,NULL,adidas 阿迪达斯 女式 运动夹克 Z31162,服饰箱包 > 休闲运动服装 > 风衣、夹克,亚马逊(卓越网),Adidas 阿迪达斯
1008002008,服饰、鞋、包|男装|夹克,Adidas BMI 男装运动夹克TR10030MA 深蓝+白,首页 >运动户外 >运动服 >夹克 >Adidas BMI 男装运动夹克TR10030MA,vjia,Adidas
1008002012,服饰、鞋、包|男装|外套,Kappa 卡帕男装运动夹克外套,运动户外休闲/类别/跑步/跑步服/夹克,亚马逊(卓越网),Kappa 卡帕
NULL,NULL,New Balance 新百伦 女式 运动夹克 WFJ3169,服饰箱包 > 休闲运动服装 > 风衣、夹克,亚马逊(卓越网),New Balance 新百伦
NULL,NULL,卡沃利 牛仔蓝 牛仔运动夹克 S04AM0022N30072,首页 > 外套> 小外套,乐蜂网,本商品由  卡沃利
1008002012,服饰、鞋、包|男装|外套,Nike 耐克 男装外套 新款 男子运动夹克 506404-082,运动户外休闲 > 跑步 > 跑步服 > 夹克,亚马逊(卓越网),Nike 耐克
1008002012,服饰、鞋、包|男装|外套,Nike 耐克 外套 男装 2013新款男子运动夹克 433145-065,运动户外休闲 > 跑步 > 跑步服 > 夹克,亚马逊(卓越网),Nike 耐克
1008001014,服饰、鞋、包|女装|短外套,Nike 耐克 2013新款女装 外套 女子运动夹克 520902-702,运动户外休闲 > 跑步 > 跑步服 > 夹克,亚马逊(卓越网),Nike 耐克
1008002012,服饰、鞋、包|男装|外套,Nike 耐克 外套 新款 男装 男子运动夹克 510616-320 HB,运动户外休闲 > 跑步 > 跑步服 > 夹克,亚马逊(卓越网),Nike 耐克
1008002012,服饰、鞋、包|男装|外套,Nike 耐克 外套 男装 2013新款 男子运动夹克371930-010,运动户外休闲 > 跑步 > 跑步服 > 夹克,亚马逊(卓越网),Nike 耐克
1008002012,服饰、鞋、包|男装|外套,PUMA 彪马 外套 男装 新款 男子运动夹克 2PU56172702,运动户外休闲 > 跑步 > 跑步服 > 夹克,亚马逊(卓越网),PUMA 彪马
1008001014,服饰、鞋、包|女装|短外套,Nike 耐克 外套 新款 女装 女子运动夹克 503547-065 HB,运动户外休闲 > 跑步 > 跑步服 > 夹克,亚马逊(卓越网),Nike 耐克
1008001014,服饰、鞋、包|女装|短外套,Nike 耐克 外套 新款 女装 女子运动夹克 526585-010 HB,运动户外休闲 > 跑步 > 跑步服 > 夹克,亚马逊(卓越网),Nike 耐克
1008002012,服饰、鞋、包|男装|外套,Nike 耐克 外套 男装 2013新款男子运动夹克 521057-010,运动户外休闲 > 跑步 > 跑步服 > 夹克,亚马逊(卓越网),Nike 耐克
NULL,NULL,Adidas阿迪达斯男子运动夹克 Z23709 S,服饰鞋帽>运动>夹克>adidas阿迪达斯>Adidas阿迪达斯男子运动夹克 Z23...,京东商城,加百利运动专营店
NULL,NULL,Nike耐克男子运动夹克 478176-011 S,服饰鞋帽>运动>夹克>Nike耐克男子运动夹克 478176-...,京东商城,加百利运动专营店
NULL,NULL,Nike耐克男子运动夹克 523995-063 S,服饰鞋帽>运动>夹克>Nike耐克男子运动夹克 523995-...,京东商城,加百利运动专营店
NULL,NULL,Adidas阿迪达斯男子运动夹克 W38457 S,服饰鞋帽>运动>夹克>adidas阿迪达斯>Adidas阿迪达斯男子运动夹克 W38...,京东商城,宝夏体育
1008002008,服饰、鞋、包|男装|夹克,新款 Adidas NEO 阿迪休闲男装 运动夹克 Z49133 颜色Z49133 1XL,服饰鞋帽>运动>夹克>adidas阿迪达斯>新款 Adidas NEO 阿迪休闲男装...,京东商城,酷买运动专营店
1008002021,服饰、鞋、包|男装|中老年男装,李宁Lining 男装 男式开衫运动夹克 AWDD253-2 AWDD253-3 黑色 L,服饰鞋帽>运动>夹克>李宁Lining 男装 男式开衫运动夹克...,京东商城,联百运动专营店
1008002008,服饰、鞋、包|男装|夹克,耐克Nike男装 2012新款男子运动夹克465779-010 465779-010 L,服饰鞋帽>运动>夹克>耐克Nike男装 2012新款男子运动夹...,京东商城,互动网
NULL,NULL,Adidas阿迪达斯女子休闲运动夹克 W58724 S,服饰内衣>运动>夹克>Adidas阿迪达斯女子休闲运动夹克 W...,京东商城,宝夏体育
1008002012,服饰、鞋、包|男装|外套,adidas 阿迪达斯 男装新款运动夹克外套X50986 蓝色,首页 >运动户外 >运动服 >夹克 >adidas 阿迪达斯 男装新款运动夹克外套X50986,vjia,XIJIE西街运动旗舰店
NULL,NULL,Nike耐克男子运动夹克 507493-032 M,服饰鞋帽>运动>夹克>Nike耐克男子运动夹克 507493-...,京东商城,宝夏体育
NULL,NULL,Adidas阿迪达斯女子运动夹克外套 O03997 S,服饰鞋帽>运动>夹克>adidas阿迪达斯>Adidas阿迪达斯女子运动夹克外套 O...,京东商城,宝夏体育
NULL,NULL,Nike耐克男子运动夹克 446326-451 L,服饰鞋帽>运动>夹克>Nike耐克男子运动夹克 446326-...,京东商城,加百利运动专营店
1008001014,服饰、鞋、包|女装|短外套,adidas 阿迪达斯 女装运动夹克外套W60223 粉红色,首页 >运动户外 >运动服 >夹克 >adidas 阿迪达斯 女装运动夹克外套W60223,vjia,XIJIE西街运动旗舰店
1008001014,服饰、鞋、包|女装|短外套,NIKE 耐克 女装运动夹克外套484460-010 黑色,首页 >运动户外 >运动服 >夹克 >NIKE 耐克 女装运动夹克外套484460-010,vjia,XIJIE西街运动旗舰店
1008001014,服饰、鞋、包|女装|短外套,NIKE 耐克 女装2013春新款运动夹克外套522665-010 黑色,首页 >运动户外 >运动服 >夹克 >NIKE 耐克 女装2013春新款运动夹克外套522665-010,vjia,XIJIE西街运动旗舰店
1008002006,服饰、鞋、包|男装|卫衣、绒衫,Converse 匡威 男装运动夹克外套00390C001 黑色,首页 >运动户外 >运动服 >卫衣 >Converse 匡威 男装运动夹克外套00390C001,vjia,XIJIE西街运动旗舰店
1008002012,服饰、鞋、包|男装|外套,Kappa 卡帕 男装运动夹克外套K0212MK17-990/K0212MK17-553 黑色,首页 >运动户外 >运动服 >夹克 >Kappa 卡帕 男装运动夹克外套K0212MK17-990/K0212MK17-553,vjia,XIJIE西街运动旗舰店
1008001014,服饰、鞋、包|女装|短外套,adidas 阿迪达斯 女装2013春新款运动夹克外套Z24840 / Z24838 红色,首页 >运动户外 >运动服 >夹克 >adidas 阿迪达斯 女装2013春新款运动夹克外套Z24840 / Z24838,vjia,XIJIE西街运动旗舰店
1008002012,服饰、鞋、包|男装|外套,adidas 阿迪达斯 男装2013春新款运动夹克外套X74475 蓝色,首页 >运动户外 >运动服 >夹克 >adidas 阿迪达斯 男装2013春新款运动夹克外套X74475,vjia,XIJIE西街运动旗舰店
1008001014,服饰、鞋、包|女装|短外套,adidas 阿迪达斯 女装运动夹克外套W58996 蓝色,首页 >运动户外 >运动服 >夹克 >adidas 阿迪达斯 女装运动夹克外套W58996,vjia,XIJIE西街运动旗舰店
1008002008,服饰、鞋、包|男装|夹克,花花公子PLAYBOY2012秋冬男士梭织运动夹克外套12185184 灰色 M,服饰鞋帽>运动>夹克>花花公子PLAYBOY2012秋冬男士梭...,京东商城,花花公子运动专卖店
NULL,NULL,361度冬季男款运动夹克外套5138502A 黑色 M,服饰鞋帽>运动>夹克>361度冬季男款运动夹克外套513850...,京东商城,鲲跃体育
1008002010,服饰、鞋、包|男装|大衣,PUMA 彪马 生活系列 男式 运动夹克 562278,服饰箱包 > 休闲运动服装 > 大衣、羽绒服 ,亚马逊(卓越网),PUMA 彪马
1008002014,服饰、鞋、包|男装|棉服,凯仕达 当季特价 2012年新款运动服 秋冬款棉衣 男式运动夹克 休闲外套 KD6712-1,服饰箱包/类别/男装/夹克,亚马逊(卓越网),凯仕达
NULL,NULL,adidas 阿迪达斯 女式 运动夹克 Z26907,服饰箱包 > 休闲运动服装 > 风衣、夹克,亚马逊(卓越网),Adidas 阿迪达斯
1008002008,服饰、鞋、包|男装|夹克
,adidas 阿迪达斯 男式 运动夹克,服饰箱包 > 休闲运动服装 > 风衣、夹克,亚马逊(卓越网),Adidas 阿迪达斯
1008002008,服饰、鞋、包|男装|夹克
,PUMA 彪马 生活系列 男式 运动夹克 562275,服饰箱包 > 休闲运动服装 > 风衣、夹克,亚马逊(卓越网),PUMA 彪马
NULL,NULL,Nike耐克男子运动夹克 519437-464 M,服饰鞋帽>运动>夹克>Nike耐克男子运动夹克 519437-...,京东商城,加百利运动专营店
1008002008,服饰、鞋、包|男装|夹克,杰塞威斯 春秋新款中大童童装 男款休闲运动夹克茄克C-1205 灰色 120,杰塞威斯>杰塞威斯 春秋新款中大童童装 男款休闲运...,京东商城,杰塞威斯
1008002012,服饰、鞋、包|男装|外套,TOPOT 春装2012新款 正品休闲外套 男士运动夹克 男装 春秋装撞色 白色 165/S,服饰鞋帽>男装>夹克>TOPOT 春装2012新款 正品休闲外...,京东商城,topot旗舰店
NULL,NULL,Adidas阿迪达斯男子运动夹克 W53425 S,服饰鞋帽>运动>夹克>adidas阿迪达斯>Adidas阿迪达斯男子运动夹克 W53...,京东商城,宝夏体育
1008001002,服饰、鞋、包|女装|衬衫,阿迪达斯adidas 三叶草 2013春季新款 女装 女式运动夹克 运动装 Z37578 黑色 36,服饰鞋帽>运动>夹克>阿迪达斯adidas 三叶草 2013春...,京东商城,联百运动专营店
NULL,NULL,Nike耐克男子运动夹克 484360-010 M,服饰鞋帽>运动>夹克>Nike耐克男子运动夹克 484360-...,京东商城,宝夏体育
1008002012,服饰、鞋、包|男装|外套,阿迪达斯adidas 三叶草 2013春款新品 男装 男式运动夹克 外套 X53001 灰色 S,服饰内衣>运动>夹克>三叶草（Adidas）>阿迪达斯adidas 三叶草 2013春...,京东商城,联百运动店
1008002008,服饰、鞋、包|男装|夹克,Adidas 阿迪达斯男装 休闲 运动夹克 X58192 颜色X58192 L,服饰内衣>运动>夹克>Adidas 阿迪达斯男装 休闲 运动夹...,京东商城,酷买运动专营店
1008002012,服饰、鞋、包|男装|外套,Adidas 阿迪达斯男装 休闲 运动夹克外套X58185 颜色X58185 M,服饰内衣>运动>夹克>阿迪达斯（Adidas）>Adidas 阿迪达斯男装 休闲 运动夹...,京东商城,酷买运动专营店
1008001014,服饰、鞋、包|女装|短外套,Adidas 阿迪达斯女装 休闲 运动夹克外套X58419 颜色X58419 M,服饰鞋帽>运动>夹克>Adidas 阿迪达斯女装 休闲 运动夹...,京东商城,酷买运动专营店
1008002008,服饰、鞋、包|男装|夹克,Adidas 阿迪达斯男装 休闲 运动夹克 X58194 颜色X58194 2XL,服饰内衣>运动>夹克>Adidas 阿迪达斯男装 休闲 运动夹...,京东商城,酷买运动专营店
NULL,NULL,Adidas阿迪达斯男子运动夹克卫衣 X21105 XL,服饰内衣>运动>卫衣>阿迪达斯（Adidas）>Adidas阿迪达斯男子运动夹克卫衣 X...,京东商城,宝夏体育
NULL,NULL,Adidas阿迪达斯男子运动夹克 X74618 XL,服饰鞋帽>运动>夹克>adidas阿迪达斯>Adidas阿迪达斯男子运动夹克 X74...,京东商城,宝夏体育
1008001003,服饰、鞋、包|女装|针织衫、毛衣,冬季热卖花花公子Playboy新款女装针织运动夹克情侣款外套21195001 中蓝色 XL,冬季热卖花花公子Playboy新款女装针...,京东商城,PLAYBOY
NULL,NULL,Deerway/德尔惠 2012秋 新款运动夹克 63212903,服饰内衣>运动>卫衣>德尔惠（Deerway）>Deerway/德尔惠 2012秋 新款...,京东商城,德尔惠 官方旗舰店
1008002008,服饰、鞋、包|男装|夹克,AGLEROC/艾格利克男士外套多功能运动夹克6316 蓝色 XL,运动健康>户外鞋服>户外服装>AGLEROC/艾格利克男士外套多功能运...,京东商城,鹰岩AGLEROC
1008002012,服饰、鞋、包|男装|外套,耐克 NIKE 针织夹克（加绒）男装 外套 运动夹克424795-060 XXL,耐克 NIKE 针织夹克（加绒）男装 外...,京东商城,边度阳光运动
1008002008,服饰、鞋、包|男装|夹克,C.VOX音乐服装专家 男士秋装外套 休闲运动夹克衫MWJ01 紫色 XL码,服饰鞋帽>男装>夹克>C.VOX音乐服装专家 男士秋装外套 休...,京东商城,C.VOX夕沃科思
NULL,NULL,阿迪达斯adidas2013年新款女子时尚休闲运动夹克外套B Z24840 红/灰 L,服饰内衣>运动>夹克>阿迪达斯（Adidas）>阿迪达斯adidas2013年新款女子时...,京东商城,辉动运动专营店
NULL,NULL,阿迪达斯adidas2013年新款女子时尚休闲运动夹克外套B Z26553 蓝 XL,服饰内衣>运动>夹克>阿迪达斯（Adidas）>阿迪达斯adidas2013年新款女子时...,京东商城,辉动运动专营店
NULL,NULL,Nike耐克男子运动夹克 523823-063 XL,服饰鞋帽>运动>夹克>Nike耐克男子运动夹克 523823-...,京东商城,加百利运动专营店
1008002012,服饰、鞋、包|男装|外套,Giordano佐丹奴 夹克 男多彩活力运动夹克 01071020 橄榄 S,服饰鞋帽>男装>外套>佐丹奴>Giordano佐丹奴 夹克 男多彩活力...,京东商城,佐丹奴GIORDANO
1008002012,服饰、鞋、包|男装|外套,七匹狼夹克 新品时尚百搭男梭织运动夹克121937 宝蓝 3XL(185/100A),服饰内衣>男装>外套>七匹狼（SEPTWOLVES）>七匹狼夹克 新品时尚百搭男梭织运动夹克1...,京东商城,七匹狼Swsport旗舰店
1008002008,服饰、鞋、包|男装|夹克
